SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,All Other Support Staff,20801.06,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Elementary School Counselors,961.05,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Elementary Teachers,16844.61,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,122.04,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Kindergarten Teachers,4557.96,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Administrative Support Staff,1895.41,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Administrators,1789.05,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Librarians/media specialists,1322.55,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Library/Media Support Staff,203.44,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Missing,,Category Set A,Not reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Paraprofessionals/Instructional Aides,7027.95,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Pre-kindergarten Teachers,898.55,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,School Administrative Support Staff,3085.50,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,School administrators,3929.85,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,School Counselors,169.73,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Secondary School Counselors,664.97,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Secondary Teachers,19501.06,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Student Support Services Staff,8003.51,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Ungraded Teachers,0.00,Category Set A,Reported
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Guidance Counselors,1795.75,Derived - Major Staffing Category,Derived
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Staff,3806.50,Derived - Major Staffing Category,Derived
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Other Staff,20801.06,Derived - Major Staffing Category,Derived
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,School Staff,23572.80,Derived - Major Staffing Category,Derived
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,Teachers,41802.18,Derived - Major Staffing Category,Derived
2017-2018,01,ALABAMA,AL,Alabama State Department of Education,01,No Category Codes,91778.29,Education Unit Total,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,All Other Support Staff,2336.70,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary School Counselors,69.28,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary Teachers,3471.29,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Instructional Coordinators and Supervisors to the Staff,0.00,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Kindergarten Teachers,427.88,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrative Support Staff,813.25,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrators,707.17,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Librarians/media specialists,136.05,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Library/Media Support Staff,70.58,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Missing,,Category Set A,Not reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Paraprofessionals/Instructional Aides,2607.85,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Pre-kindergarten Teachers,170.48,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Administrative Support Staff,1094.60,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School administrators,645.75,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Counselors,47.62,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Secondary School Counselors,194.64,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Secondary Teachers,3673.20,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Student Support Services Staff,687.59,Category Set A,Reported
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Guidance Counselors,311.54,Derived - Major Staffing Category,Derived
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Staff,1520.42,Derived - Major Staffing Category,Derived
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Other Staff,2336.70,Derived - Major Staffing Category,Derived
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,School Staff,5242.42,Derived - Major Staffing Category,Derived
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Teachers,7742.85,Derived - Major Staffing Category,Derived
2017-2018,02,ALASKA,AK,Alaska Department of Education and Early Development,01,No Category Codes,17153.93,Education Unit Total,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,All Other Support Staff,14079.94,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary School Counselors,435.43,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Elementary Teachers,30396.07,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Instructional Coordinators and Supervisors to the Staff,629.47,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Kindergarten Teachers,2516.03,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrative Support Staff,4093.07,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Administrators,1408.84,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Librarians/media specialists,418.54,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Library/Media Support Staff,74.98,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Missing,,Category Set A,Not reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Paraprofessionals/Instructional Aides,15694.28,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Pre-kindergarten Teachers,386.82,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,School Administrative Support Staff,3775.88,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,School administrators,2452.22,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,School Counselors,0.00,Category Set A,Post-submission edit
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary School Counselors,765.89,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Secondary Teachers,14568.66,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Student Support Services Staff,11812.12,Category Set A,Reported
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,Guidance Counselors,1201.32,Derived - Major Staffing Category,Derived
2017-2018,04,ARIZONA,AZ,Arizona Department of Education,01,LEA Staff,6131.38,Derived - Major Staffing Category,Derived
