SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,All Other Support Staff,2258.10,Category Set A,Reported
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary School Counselors,72.51,Category Set A,Reported
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary Teachers,3314.70,Category Set A,Reported
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Guidance Counselors,304.99,Derived - Major Staffing Category,Derived
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Instructional Coordinators and Supervisors to the Staff,0.00,Category Set A,Reported
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Kindergarten Teachers,407.47,Category Set A,Reported
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrative Support Staff,785.69,Category Set A,Reported
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Administrators,717.99,Category Set A,Reported
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,LEA Staff,1503.68,Derived - Major Staffing Category,Derived
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Librarians/media specialists,134.54,Category Set A,Reported
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Library/Media Support Staff,73.21,Category Set A,Reported
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Missing,,Category Set A,Not reported
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,No Category Codes,16980.03,Education Unit Total,Reported
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Other Staff,2258.10,Derived - Major Staffing Category,Derived
2019-2020,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Paraprofessionals/Instructional Aides,2730.91,Category Set A,Reported
