SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,All Other Support Staff,13170.49,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Elementary School Counselors,999.08,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Elementary Teachers,18395.46,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,58.24,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Kindergarten Teachers,2980.76,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Administrative Support Staff,2281.54,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Administrators,1285.42,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Librarians/media specialists,1301.55,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Library/Media Support Staff,144.86,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Missing,,Category Set A,Not reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Paraprofessionals/Instructional Aides,7951.82,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Pre-kindergarten Teachers,1292.99,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,School Administrative Support Staff,2289.46,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,School administrators,4278.79,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,School Counselors,188.17,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,School Psychologists,7.00,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Secondary School Counselors,692.53,Category Set A,Reported
2023-2024,01,ALABAMA,AL,Alabama State Department of Education,01,Secondary Teachers,20188.71,Category Set A,Reported
