SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,All Other Support Staff,13182.95,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Elementary School Counselors,950.78,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Elementary Teachers,16897.25,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,56.47,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Kindergarten Teachers,4537.67,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Administrative Support Staff,2076.49,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Administrators,1091.71,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Librarians/media specialists,1322.28,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Library/Media Support Staff,188.94,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Missing,,Category Set A,Not reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Paraprofessionals/Instructional Aides,6508.89,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Pre-kindergarten Teachers,987.96,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,School Administrative Support Staff,2241.53,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,School administrators,3954.23,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,School Counselors,155.49,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Secondary School Counselors,663.17,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Secondary Teachers,19690.76,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Student Support Services Staff,1986.18,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Ungraded Teachers,0.00,Category Set A,Reported
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Guidance Counselors,1769.44,Derived - Major Staffing Category,Derived
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Staff,3224.67,Derived - Major Staffing Category,Derived
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Other Staff,13182.95,Derived - Major Staffing Category,Derived
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,School Staff,16202.05,Derived - Major Staffing Category,Derived
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,Teachers,42113.64,Derived - Major Staffing Category,Derived
2018-2019,01,ALABAMA,AL,Alabama State Department of Education,01,No Category Codes,76492.75,Education Unit Total,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,All Other Support Staff,2294.67,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary School Counselors,71.33,Category Set A,Reported
2018-2019,02,ALASKA,AK,Alaska Department of Education and Early Development,01,Elementary Teachers,3398.54,Category Set A,Reported
