SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,All Other Support Staff,13053.66,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Elementary School Counselors,990.29,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Elementary Teachers,16185.38,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,56.58,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Kindergarten Teachers,4832.37,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Administrative Support Staff,2200.85,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Administrators,1247.58,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Librarians/media specialists,1305.95,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Library/Media Support Staff,147.36,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Missing,,Category Set A,Not reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Paraprofessionals/Instructional Aides,7620.57,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Pre-kindergarten Teachers,1957.23,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,School Administrative Support Staff,2260.83,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,School administrators,4201.51,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,School Counselors,169.66,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,School Psychologists,3.00,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Secondary School Counselors,694.13,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Secondary Teachers,19046.64,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Student Support Services Staff (w/o Psychology),2310.20,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Ungraded Teachers,0.00,Category Set A,Reported
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,Guidance Counselors,1854.08,Derived - Major Staffing Category,Derived
2022-2023,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Staff,3505.01,Derived - Major Staffing Category,Derived
