SCHOOL_YEAR,FIPST,STATENAME,ST,SEA_NAME,STATE_AGENCY_NO,STAFF,STAFF_COUNT,TOTAL_INDICATOR,DMS_FLAG
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,All Other Support Staff,12892.21,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Elementary School Counselors,981.62,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Elementary Teachers,15792.09,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Instructional Coordinators and Supervisors to the Staff,52.58,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Kindergarten Teachers,4430.54,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Administrative Support Staff,2160.92,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,LEA Administrators,1202.84,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Librarians/media specialists,1305.34,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Library/Media Support Staff,157.11,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Missing,,Category Set A,Not reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Paraprofessionals/Instructional Aides,7403.76,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Pre-kindergarten Teachers,1065.09,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,School Administrative Support Staff,2250.75,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,School administrators,4130.02,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,School Counselors,169.92,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,School Psychologists,2.00,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Secondary School Counselors,676.95,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Secondary Teachers,17547.77,Category Set A,Reported
2021-2022,01,ALABAMA,AL,Alabama State Department of Education,01,Student Support Services Staff (w/o Psychology),2273.94,Category Set A,Reported
